name,ingredients,preparation
SOPA A LA MINUTA,"1/2 taza de leche evaporada,100 g de fideos cabello de ángel,5 tazas de agua hirviendo,½ cebolla finamente picada,1 diente de ajo molido,2 huevos,1 cucharadita de orégano,2 cucharaditas de,3 cucharadas de aceite vegetal,Sal,Pimienta,250 g de carne de res cortado en dados pequeños"," Calentar el aceite, freir la cebolla, el ajo y el ají panca en pasta por unos minutos. Incorporar la carne picada hasta que quede bien dorada.
Agregar 5 tazas de agua hirviendo. Hervir a fuego moderado con la olla tapada.
Agregar los fideos cabello de ángel y dejar hervir 3 minutos más. Echar luego los huevos, ligeramente batidos, al hilo, moviendo suavemente. Condimentar con sal y pimienta. 
Antes de servir, agregar la leche evaporada y el orégano seco, frotándolo con las manos. Dejar reposar unos minutos bien tapado.
Corregir el punto de sal.
Servir.

Tiempo de Preparación: 15 minutos

Receta de Valentina Cisneros
"
SHAMBAR DE LOS LUNES,"1 k (22.2 lb) de trigo resbalado, especial para shambar (no es lo mismo que pelado),¼ k de frejol bayo,¼ k (9 oz) de arvejas secas,¼ k.(9 oz) de garbanzos,¼ k (9 oz) de habas secas,¼ k (9 oz) de pellejo de cerdo (de preferencia tierno),¼ k (9 oz) de costilla de cerdo ahumada,2 – 3 cebollas, picada en cuadritos,Ajos molidos,Ají panca amarillo,Aceite,Sal,Hierba buena,Maíz para cancha"," Remojar las menestras y el trigo resbalado desde la noche anterior (se recomienda quitar las partes negras u ojuelos de las habas, para evitar un color muy oscuro del shambar.
Hervir las menestras y el trigo durante una hora y media ó más (es preferible hervir las habas aparte, para evitar que se deshagan), añadiendo agua hervida para reponer la que se va consumiendo.
Agregar el pellejo de chancho y la costilla de chancho ahumada (ambos cortados previamente en trozos).
Aparte en una sartén preparar el aderezo con dos o tres cebollas de cabeza cortadas en cuadraditos, ajo molido, ají panca amarillo, aceite y sal al gusto. Dorar todo.
Cuando el pellejo, las costillas, las menestras y el trigo están bien cocidos, agregar el aderezo y hojas de hierba buena, que le dan el sabor peculiar al shambar.
Remover constantemente la preparación, para que no se asiente y queme. Al final no debe quedar ni muy espeso ni muy aguado.
En forma paralela se prepara cancha.
Servir echando un puñado de cancha sobre cada plato del rico shambar y además se recomienda poner cancha a la mesa para servirse según el gusto.
NOTA:- Esta es una receta básica que se puede enriquecer agregando jamón, chuleta de chancho, chorizo, etc. Pero sin cambiar el resto de ingredientes y de acuerdo a lo que el bolsillo disponga.

Receta enviada por el Sr. Jorge Vallejos Salazar

No se conoce el origen de esta comida, pero se cree que viene del tiempo de la colonia y que proviene de la sierra del Departamento de La Libertad. Es un plato que combina los ingredientes autóctonos con los europeos. Consta de frejol bayo, trigo shambar, arvejas, habas secas y pellejo o carne de cerdo. En Trujillo y en todo el Departamento de La Libertad es tradicional servir la sopa Shambar los días Lunes.
"
SAJTA / Sancochado Puneño ,"2 k (4.5 lb) presas de pollo,7 tazas de cerveza,1 ½ k (3 lb 5 oz) papas blancas peladas y cortada en dos,1 ½ k (3 lb 5 oz),2,4 cebollas cortadas en 4,1,Jugo de 1,Sal,Pimienta,Salsa de Perejil,Salsa Huancaína,Orégano"," Cortar en dos los rocotos. Despepitar y sacar las venas. Partir en 3 trozos cada mitad. Remojarlos en agua hirviendo con una cucharada de sal y el jugo de 1 limón por media hora. Desechar el agua.
Colocar los ingredientes en una olla, por capas: primero las cebollas; luego las presas de pollo sazonadas con sal y pimienta. Continuar con capas de cebolla nuevamente, rocotos, papas y orégano. Repetir, colocando una segunda capa de cada ingrediente. Cubrir todo con cerveza y cocinar en olla tapada por 40 minutos.
Colocar en una fuente las presas de pollo y las papas adornando con tiras de pimiento.
Servir este plato con salsa de perejil y salsa de huancaína. El caldo colado se sirve aparte.
"
SANCOCHADO ,"2 k (4.4 lb) de carne de res (pecho, cadera),½ k de garbanzos, remojados desde la víspera,4 zanahorias medianas, peladas y partidas por mitad,1 k ( 2.2 lb) de habas verdes,2 poros partidos por mitad a lo largo,4 tallos de apio,1 nabo pelado, cortado en 2 ó 3 trozos,8 papas blancas medianas, peladas y partidas por mitad,1 col mediana, partida por mitad,1 k ( 2.2 lb) de yuca de preferencia amarilla, pelada y cortada en trozos grandes,4 choclos partidos en 2 ó 3 trozos,1 cucharadita de azúcar,sal"," En una olla grande poner abundante agua y llevar a hervir. Cuando rompa el hervor, agregar la carne en trozos y dejar nuevamente que hierva. Retirar varias veces la espuma que se forma en la superficie con una espumadera, para sacar las impurezas del caldo. Hervir por una hora, tapado y a fuego moderado.
Sazonar y agregar las zanahorias, habas, nabo, apio y poros. Dejar hervir por 5 minutos e incorporar luego la col, papas y yucas. Conforme las verduras se van cocinando, se retiran de la olla y se colocan en una olla aparte. 
Cuando la carne esté cocida retirarla de la olla y colocarla junto a las demás verduras. Colar el caldo. Sazonar.
Cocinar el choclo en agua con 1 cucharadita de azúcar. Cuando estén cocidos, colocarlos con el resto de las verduras cocidas.
Los camotes, cocerlos por separado en agua y colocarlos luego en la olla con las demás verduras.
Cocinar los garbanzos en agua sin sal, por separado, y servirlos en fuente aparte.Servir el caldo bien caliente sólo. Las verduras y la carne servirlas en una fuente aparte.
Acompañar con Crema de ají,  Salsa criolla y Salsa de perejil.
"
PARIHUELA ,"½ taza de aceite vegetal,4 dientes de ajo chancados,2 cebollas medianas picadas,3 tomates pelados, sin pepas y picados,2 cucharadas de salsa de soya,2 cucharadas de,1 cucharada de,3,1 cucharadita de orégano,1 hoja de laurel,¾ taza de chicha de jora o vino blanco,8 filetes pequeños de pescado,1 1/2 k de cabezas y espinazos de pescado,16 choros,300 g de camarones,300 g de colas de langostinos,300 g calamares, cortados en aros,8 caracoles limpios,8 almejas limpias,8 conchas de abanico,2 cucharadas de culantro,2 cucharadas de perejil picado,2 cabezas de cebolla china picada,Sal,Pimienta"," Hervir las cabezas y espinazos de pescado con 2 ½ litros (10 tazas) de agua con sal por ½ hora. Agregar los choros bien lavados y hervir por 10 minutos más. Colar y reservar el caldo.
Freir con el aceite, los ajos y las cebollas. Cuando la cebolla esté transparente, agregar los filetes de pescado y freír unos instantes, luego agregar el tomate, pimentón, ají panca molido, ají mirasol entero, sal y pimienta, hoja de laurel y orégano. Cocinar de 3 a 4 minutos, añadir el vino y continuar la cocción a fuego lento por 5 minutos más.
Agregar el caldo de pescado, salsa de soya, culantro, perejil.
Al momento de servir incorporar los mariscos lavados y los choros cocidos dando un ligero hervor. Sazonar con sal y pimienta. Servir de inmediato con unas gotas de limón y cebollita china picada, como adorno.

8 porciones
 "
POTAJE DE GARBANZOS Y MONDONGO,"4 patitas de cerdo,3 tazas de sal,1/2 kilo de,1 hoja de laurel,12 granos de pimienta negra,1/2 cucharadita de semillas de comino tostado,300 gramos de garbanzo,200 gramos de costilla ahumada de cerdo,2 panes franceses en tajadas,1/2 taza de aceite de oliva,4 dientes de ajos,2 clavos de olor,2 cebollas picadas,2 tomates picados sin piel ni pepas,1/2 pimiento rojo picado,1 cucharadita de pimentón,1/2 copa de vino tinto"," Parta las patitas de cerdo por mitad, lávelas, séquelas, envuélvalas en sal y refrigérelas durante cinco días; tiempo en el cual se eliminará el líquido que suelten.
Cocine el mondongo en agua con el laurel, ocho granos de pimienta y el comino hasta que esté suave. Cocine en agua los garbanzos previamente remojados, incorpore la costilla ahumada y las patitas de cerdo, que deben estar bien lavadas, para quitarles los restos de sal. Reserve el agua de la cocción. Fría el pan en la mitad del aceite de oliva hasta que doren y reserve.
Muela o licúe el pan frito con el ajo, los granos de pimienta restantes y los clavos de olor hasta que se deshagan.
En una olla de barro con el aceite de oliva restante fría la cebolla, el tomate, el pimiento y el pimentón. Vierta el vino y cocine diez minutos. Agregue los panes con las especias y continúe friendo tres minutos. Incorpore los garbanzos, las patitas y la costilla con una y media taza del caldo de su cocción que reservó. 
Incorpore el mondongo y guise durante 15 minutos a fuego lento. 
Rectifique la sazón y mueva constantemente para evitar que se pegue.

Deje reposar veinte minutos con el fuego apagado y sirva.

Receta del Sra. María Ivonne Mondoñedo Tochiki Vda. de Cerdeira. (Lima - AFP Integra).
Mención Honrosa en el concurso organizado por la Asociación de AFP, Perú.

Porciones: 4 personas
 "
SALSA HUANCAINA ,"7,300 g (10 ½ oz),Aceite,2/3 taza de leche,1 cebolla pequeña picada,1 diente de ajo molido,Sal,Pimienta"," Colocar en la licuadora los ajíes cortados en trozos. Licuar con la leche.
Saltar cebolla en aceite hasta que esté cocida, agregar el ajo y mezclar.
Echar la cebolla a la licuadora junto con el queso fresco cortado en trozos. Licuar.
Agregar aceite hasta obtener una salsa cremosa.
"
SALSA ESCABECHADA,"½ taza de aceite de oliva,1 cucharada de,2 cucharadas de,3 dientes de ajo pelados,1 ½ cebolla grande cortada en tajadas gruesas,5 ají,Sal,Pimienta negra,4 clavos de olor,Pizca de anís,3 cucharadas de vino blanco,2 cucharadas de vinagre blanco,2 cucharadas de vinagre balsámico,½ cucharadita de azúcar"," Colocar los ajos pelados al horno suave por 20 minutos y luego triturarlos para obtener una pasta suave.
Freír en una sartén el aceite de oliva, el ají mirasol en pasta, el ají panca en pasta y la pasta de ajos por unos minutos. 
Agregar la cebolla, el ají amarillo fresco, clavos de olor, anís, sal y pimienta. Cuando la cebolla cambie de color, sin ablandarse, retirar los clavos de olor y agregar el vino blanco, vinagre blanco, vinagre balsámico y azúcar. Hervir por 3 ó 4 minutos. 
Esta salsa sirve para acompañar pescado, papas.
"
SALSA DE ROCOTO ,"1 rocoto,½ taza leche evaporada,Jugo de ½,1 taza de aceite,1 cucharadita de sal,Pimienta"," Lavar y limpiar bien el rocoto. Cortarlo en trozos.
Poner todos los ingredientes en la licuadora y licuar hasta que quede con la consistencia de una salsa.
"
SALSA DE ROCOTO Y TOMATE,"2 rocotos,2 tomates maduros, sin piel, ni semillas,Sal,1 cucharadita al ras de azúcar,1 cucharadita de vinagre blanco,½ taza de aceite vegetal,¼ de taza de aceite de oliva"," Abrir los rocotos y limpiarlos bien por dentro frotándolos con sal. Enjuagar.
Cocinar los rocotos en agua hirviendo, cambiando el agua 3 veces (para que no esté tan picante). Retirar del fuego y colocar el rocoto en la licuadora con el aceite de oliva, el aceite vegetal, el tomate sin piel ni semillas, el vinagre blanco y el azúcar.
"
SALSA DE PEREJIL ,"1 taza compacta de hojas de perejil,½ taza de aceite de oliva,4,1 cucharadita de sal"," Moler en la licuadora o en la procesadora el perejil con el aceite de oliva y los ajíes.
Agregar sal. Debe quedar como una crema.
Sirve para acompañar papas, carnes, o pescado.
"
SALSA DE OCOPA ,"4 ó 5,1 cebolla grande, pelada y partida,2 dientes de ajo,3 galletas de vainilla o maría,200 g,3 cucharadas de maní tostado,Aceite (cantidad necesaria),1 rama de culantro,¾ taza leche evaporada aproximadamente,1 ramita de huacatay,Sal,Pimienta"," Dorar en aceite las cebollas partidas en trozos junto con el ajo, el ají y el huacatay.
Freir hasta que esté bien dorado. Retirar.
Poner en licuadora la mezcla de cebolla, galletas, queso, maní y leche. Licuar. Sazonar.
Debe quedar una crema espesa. Si se necesita, agregar aceite mientras se licúa.
"
SALSA DE MANI ,"12,1 ½ cucharada de azúcar,120 g (4 oz) maní tostado en el horno o en la sartén,200 g (7 oz) queso fresco,Sal,Pimienta,6 a 8 cucharadas de leche evaporada,½ taza de aceite aproximadamente"," Limpiar bien los ajíes removiéndole las semillas. Hervirlos durante 8 minutos en agua con el azúcar.
Colocar en la licuadora o procesador junto con el maní, el queso, la leche, sal y pimienta. Poner en marcha la licuadora o procesadora y agregar gradualmente el aceite hasta obtener la consistencia deseada. Rectificar la sazón.
Rinde: 1 ½ taza aproximadamente
"
SALSA DE HUACATAY ,"½ k de,¾ taza de crema de leche o leche evaporada,Hojas de huacatay,Sal al gusto"," Poner de a pocos en la licuadora o en la procesadora el queso fresco, la crema de leche o leche evaporada y las hojas de huacatay.
Debe quedar como una crema.
Opcional: Añadir 1 cucharada de ají amarillo fresco licuado si se desea que la salsa quede algo picante.
"
SALSA DE CEBOLLA ,"1 cebolla mediana,1 cucharada de aceite vegetal,1,½ cucharadita de jugo de,Sal,Pimienta,1/2 cucharadita de culantro, finamente picado"," Picar la cebolla a la juliana. Lavarla en agua.
Mezclar cebolla con el resto de los ingredientes.
"
SALSA DE AJÍ Y CEBOLLA CHINA,"1 taza de Pasta cremosa de ají,1 cucharada de aceite de oliva,2 cebollas chinas, parte verde, finamente picadas,Jugo de 1 limón,Sal,Pimienta", Mezclar todos los ingredientes en un recipiente pequeño. Servir como salsa para los anticuchos. Se le puede agregar culantro en lugar de la cebolla china.
SALSA CRUDA DE TOMATES,"6 tomates medianos, pelados, sin semillas y picados,4 tallos de cebollita china, picados (parte blanca y verde claro),6 cucharadas de culantro fresco picado,2,4 cucharadas de vinagre de manzana (o vinagre de vino),1 taza de jugo de naranjas,Sal,Pimienta"," Mezclar todo en una fuente y sazonar al gusto.
"
SALSA DE AJÍ AMARILLO FRESCO ,"700 g (1 lb 9 oz),¾ taza de aceite de oliva,Sal"," Cortar, sacar las semillas y las venas de los ajíes.
Hervir agua en una olla, retirar del fuego y remojar los ajíes en esta agua durante 2 minutos. Cambiar el agua y repetir el procedimiento dos veces más.
Escurrir y eliminar el agua.
Licuar los ajíes con el aceite y agregar sal al gusto.
"
SALSA CRIOLLA ,"2 cebollas medianas,1 ó 2,Sal,Pimienta,Jugo de 3 limones,Aceite vegetal,Culantro o perejil picado finamente"," Cortar cebollas en tajadas bien finas. Poner a remojar en un bol con agua, mezclando bien. Escurrir y dejar que sequen.
Colocar las cebollas en un bol, sazonar con sal y pimienta.
Rociar el jugo de limón. Incorporar ají y aceite al gusto. Mezclar bien.
Rectificar la sazón.
Servir esta salsa como acompañamiento.
"
SALSA CRUDA DE ROCOTO,"2 rocotos grandes, sin semillas ni venas, picado,¼ de taza de azúcar,¼ de taza de vinagre,1 cucharada de aceite,4 cebollas chinas, solo la parte blanca, picada,Jugo de 1 limón,Sal,Pimienta"," Colocar los rocotos en un recipiente grande con agua con azúcar y vinagre. Remojar durante 5 minutos. Escurrir y cambiar el agua 2 veces. Escurrir nuevamente, colocar en un recipiente y agregar aceite, jugo de limón, cebollita, sal y pimienta.
Mezclar bien y servir como condimento.
"
MIEL DE CHANCACA ,"½ kilo de chancaca,½ taza de azúcar,4 clavos de olor,1 palo de canela,1 trozo de cáscara de naranja,4 tazas de agua"," Cortar la chancaca en trozos y colocarla en una olla, agregarle el azúcar, clavo de olor, canela, cáscara de naranja y agua y llevar a hervir hasta que tenga la consistencia de miel (217°F en termómetro).
"
CREMA DE ROCOTO,"4 cucharadas de vinagre,3 dientes de ajo, picado,1 ½ taza de aceite de oliva,2 ramas de apio, cortado en trozos grandes,½ poro, cortado en trozos grandes,½ cebolla blanca, grande, partida por mitad,3 rocotos,Jugo de 3 limones,Sal,Pimienta,Opcional: 1 ó 2 ají limo, sin venas ni semillas"," Colocar el vinagre y los ajos en el vaso de la licuadora. Licuar e ir añadiendo, gradualmente, el aceite de oliva, apio, poro, cebolla, rocoto. (el rocoto agregarlo uno por uno para ir probando el picante), jugo de limón, sal y pimienta. Probar y rectificar la sazón del picante, condimentos y acidez. Si se desea más picante se puede agregar 1 ó 2 ají limo sin venas ni semillas. Si la salsa estuviera muy espesa, agregar 1 cucharada de agua para aligerar la crema.
"
CREMA DE AJÍ ,"½ k (1 lb 2 oz),2 a 3 cucharadas de aceite vegetal,¼ taza de azúcar,Sal,Pimienta"," Limpiar los ajíes, retirar venas y semillas y cortar en trozos. Blanquear en agua hirviendo con azúcar durante 5 minutos. Colar.
Calentar aceite en una sartén y freir los ajíes durante 5 minutos. Sazonar.
Colocar el ají con el aceite en la licuadora hasta lograr un puré suave. Pasar por colador si fuera necesario.
"
ZANGO,"½ kilo (1 lb 2 oz) de trigo pelado,1 bola de chancaca clara,2 rajas de canela,1 cucharada de clavo de olor,1 taza de azúcar,1 naranja de jugo,1 tarro (1 ¾ de taza) de leche evaporada,150 g de pasas,100 g de almendras,100 g de mantequilla,1 cucharada de canela en polvo"," Tostar el trigo y molerlo en un procesador o molinillo.
Poner a hervir durante 30 minutos la chancaca rallada con el clavo, la canela, el jugo de naranja y la cáscara de naranja, así como una taza y media de agua. Colar.
Agregar la leche, el azúcar, una pizca de sal, la mantequilla, las pasas, las almendras y el trigo, moviendo hasta que esté cocido.
Verter en una fuente y espolvorear con canela, marcar rombos y adornar con almendras laminadas.
Postre del departamento de Arequipa
Receta del Libro Pastelería Peruana de la Sra. Gloria Hinostroza Clausen de Molina
Editado por la Escuela Profesional de Turismo y Hotelería de la Universidad de San Martín de Porres
"
VOLADOR ,"15 yemas,15 cucharadas de harina,1 cucharadita de polvo de hornear,1 ½ cucharada de aguardiente o,1 cucharada margarina derretida,4 cucharadas azúcar en polvo,Manjarblanco"," Cernir harina con el polvo de hornear. Añadir las yemas y aguardiente o pisco. Unir con tenedor, estribo o con las manos. Agregar la margarina y amasar hasta lograr una mezcla uniforme.
Separar la masa en 10 partes iguales. Estirar en 10 capas muy delgadas, casi transparente, sobre papel grasa enmantequillado y enharinado, usando abundante harina para lograr que se estire sin pegarse al rodillo. Cortar círculos de 25 a 30 cm cada uno. Pinchar con tenedor para evitar que se aglobe al cocinarse.
Colocar en el horno, capa por capa sobre el papel en el cual se estiró, sobre lata de horno. Temperatura: 350º F durante 15 minutos.
Retirar del horno. Enfriar por 15 minutos. Colocar la primera capa en una fuente y rellenar alternando manjarblanco y capas de masa. Si queda muy elevado, se puede aplastar ligeramente entre capa y capa. Finalizar con masa cubriendo con azúcar molida tamizada.
Variaciones:
Se puede rellenar intercalando el manjarblanco con mermelada de albaricoque, durazno, fresa etc.
"
